rt;stimulus;responses;key_press;test_part;blockNb;trialNb;condiEmoBlock;condiEmoTrial;condiRwd;posCritDist;distractor;posTarget;target;trial_type;trial_index;time_elapsed;internal_node_id;subject_id;date
1753.6500000861;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswFem;8;1;2;3;1;6;1;10;0;html-keyboard-response;1027;1167146;0.0-1027.0;3038149;05/05/2020 16:59
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;1028;1167185;0.0-1028.0;3038149;05/05/2020 16:59
999;fixation_cross;999;999;fixation;8;2;2;5;1;5;3;7;1;html-keyboard-response;1029;1168190;0.0-1029.0;3038149;05/05/2020 16:59
999;imgJS/WMN_scramble_82.jpg,imgJS/WMN_scramble_23.jpg,imgJS/WMN_scramble_4.jpg,imgJS/WMN_scramble_77.jpg,imgJS/WMN_scramble_63.jpg,imgJS/WMN_25.jpg,imgJS/WMN_scramble_37.jpg,imgJS/WMF_23.jpg,imgJS/WMN_scramble_55.jpg,imgJS/WMN_scramble_51.jpg,imgJS/WMN;999;999;rsvp_img_15;8;2;2;5;1;5;3;7;1;rsvp_flux;1030;1169244;0.0-1030.0;3038149;05/05/2020 16:59
2555.2199999802;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswFem;8;2;2;5;1;5;3;7;1;html-keyboard-response;1031;1171803;0.0-1031.0;3038149;05/05/2020 16:59
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;1032;1171843;0.0-1032.0;3038149;05/05/2020 16:59
999;fixation_cross;999;999;fixation;8;3;2;4;1;6;0;8;0;html-keyboard-response;1033;1172847;0.0-1033.0;3038149;05/05/2020 16:59
999;imgJS/WFF_scramble_3.jpg,imgJS/WFF_scramble_36.jpg,imgJS/WFF_scramble_25.jpg,imgJS/WFF_scramble_14.jpg,imgJS/WFF_scramble_7.jpg,imgJS/WFF_scramble_14.jpg,imgJS/WFF_32.jpg,imgJS/WFF_scramble_6.jpg,imgJS/WFF_29.jpg,imgJS/WFF_scramble_13.jpg,imgJS/WFF_s;999;999;rsvp_img_15;8;3;2;4;1;6;0;8;0;rsvp_flux;1034;1173902;0.0-1034.0;3038149;05/05/2020 16:59
1669.0899999812;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswHom;8;3;2;4;1;6;0;8;0;html-keyboard-response;1035;1175574;0.0-1035.0;3038149;05/05/2020 16:59
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;1036;1175625;0.0-1036.0;3038149;05/05/2020 16:59
999;fixation_cross;999;999;fixation;8;4;2;6;1;6;2;10;1;html-keyboard-response;1037;1176630;0.0-1037.0;3038149;05/05/2020 16:59
999;imgJS/WFN_scramble_67.jpg,imgJS/WFN_scramble_37.jpg,imgJS/WFN_scramble_27.jpg,imgJS/WFN_scramble_8.jpg,imgJS/WFN_scramble_70.jpg,imgJS/WFN_scramble_23.jpg,imgJS/WFN_17.jpg,imgJS/WFN_scramble_59.jpg,imgJS/WFN_scramble_53.jpg,imgJS/WFN_scramble_71.jpg,;999;999;rsvp_img_15;8;4;2;6;1;6;2;10;1;rsvp_flux;1038;1177684;0.0-1038.0;3038149;05/05/2020 16:59
910.4300000472;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswHom;8;4;2;6;1;6;2;10;1;html-keyboard-response;1039;1178598;0.0-1039.0;3038149;05/05/2020 16:59
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;1040;1178638;0.0-1040.0;3038149;05/05/2020 16:59
999;fixation_cross;999;999;fixation;8;5;2;5;1;8;3;12;0;html-keyboard-response;1041;1179642;0.0-1041.0;3038149;05/05/2020 16:59
999;imgJS/WMN_scramble_62.jpg,imgJS/WMN_scramble_89.jpg,imgJS/WMN_scramble_58.jpg,imgJS/WMN_scramble_14.jpg,imgJS/WMN_scramble_32.jpg,imgJS/WMN_scramble_35.jpg,imgJS/WMN_scramble_9.jpg,imgJS/WMN_scramble_79.jpg,imgJS/WMN_47.jpg,imgJS/WMN_scramble_1.jpg,i;999;999;rsvp_img_15;8;5;2;5;1;8;3;12;0;rsvp_flux;1042;1180697;0.0-1042.0;3038149;05/05/2020 16:59
971.10999992583;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswFem;8;5;2;5;1;8;3;12;0;html-keyboard-response;1043;1181672;0.0-1043.0;3038149;05/05/2020 16:59
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;1044;1181711;0.0-1044.0;3038149;05/05/2020 16:59
999;fixation_cross;999;999;fixation;8;6;2;6;1;4;2;8;0;html-keyboard-response;1045;1182716;0.0-1045.0;3038149;05/05/2020 16:59
999;imgJS/WFN_scramble_28.jpg,imgJS/WFN_scramble_50.jpg,imgJS/WFN_scramble_39.jpg,imgJS/WFN_scramble_55.jpg,imgJS/WFN_29.jpg,imgJS/WFN_scramble_76.jpg,imgJS/WFN_scramble_51.jpg,imgJS/WFN_scramble_78.jpg,imgJS/WFF_33.jpg,imgJS/WFN_scramble_62.jpg,imgJS/WF;999;999;rsvp_img_15;8;6;2;6;1;4;2;8;0;rsvp_flux;1046;1183772;0.0-1046.0;3038149;05/05/2020 16:59
1214.3400000641;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswHom;8;6;2;6;1;4;2;8;0;html-keyboard-response;1047;1184990;0.0-1047.0;3038149;05/05/2020 16:59
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;1048;1185037;0.0-1048.0;3038149;05/05/2020 16:59
999;fixation_cross;999;999;fixation;8;7;2;5;1;4;3;8;0;html-keyboard-response;1049;1186042;0.0-1049.0;3038149;05/05/2020 16:59
999;imgJS/WMN_scramble_69.jpg,imgJS/WMN_scramble_70.jpg,imgJS/WMN_scramble_82.jpg,imgJS/WMN_scramble_2.jpg,imgJS/WMN_79.jpg,imgJS/WMN_scramble_50.jpg,imgJS/WMN_scramble_88.jpg,imgJS/WMN_scramble_71.jpg,imgJS/WFF_10.jpg,imgJS/WMN_scramble_69.jpg,imgJS/WMN;999;999;rsvp_img_15;8;7;2;5;1;4;3;8;0;rsvp_flux;1050;1187097;0.0-1050.0;3038149;05/05/2020 16:59
457.38499995787;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswFem;8;7;2;5;1;4;3;8;0;html-keyboard-response;1051;1187557;0.0-1051.0;3038149;05/05/2020 16:59
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;1052;1187597;0.0-1052.0;3038149;05/05/2020 16:59
999;fixation_cross;999;999;fixation;8;8;2;5;1;5;3;9;1;html-keyboard-response;1053;1188603;0.0-1053.0;3038149;05/05/2020 16:59
999;imgJS/WMN_scramble_62.jpg,imgJS/WMN_scramble_9.jpg,imgJS/WMN_scramble_33.jpg,imgJS/WMN_scramble_41.jpg,imgJS/WMN_scramble_5.jpg,imgJS/WMN_72.jpg,imgJS/WMN_scramble_46.jpg,imgJS/WMN_scramble_45.jpg,imgJS/WMN_scramble_15.jpg,imgJS/WMF_23.jpg,imgJS/WMN_;999;999;rsvp_img_15;8;8;2;5;1;5;3;9;1;rsvp_flux;1054;1189660;0.0-1054.0;3038149;05/05/2020 16:59
664.52500002924;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswFem;8;8;2;5;1;5;3;9;1;html-keyboard-response;1055;1190328;0.0-1055.0;3038149;05/05/2020 16:59
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;1056;1190375;0.0-1056.0;3038149;05/05/2020 16:59
999;fixation_cross;999;999;fixation;8;9;2;3;1;7;3;11;2;html-keyboard-response;1057;1191380;0.0-1057.0;3038149;05/05/2020 16:59
999;imgJS/WMN_scramble_9.jpg,imgJS/WMN_scramble_50.jpg,imgJS/WMN_scramble_75.jpg,imgJS/WMN_scramble_32.jpg,imgJS/WMN_scramble_46.jpg,imgJS/WMN_scramble_18.jpg,imgJS/WMN_scramble_34.jpg,imgJS/WMN_31.jpg,imgJS/WMN_scramble_52.jpg,imgJS/WMN_scramble_34.jpg,;999;999;rsvp_img_15;8;9;2;3;1;7;3;11;2;rsvp_flux;1058;1192436;0.0-1058.0;3038149;05/05/2020 16:59
