runID	startTime	doneTime	participant_participantID	taskSession_taskSessionID	taskSessionID	sessionName	openingTime	closingTime	task_taskID	rt	stimulus	responses	key_press	test_part	blockNb	trialNb	condiEmoBlock	condiEmoTrial	condiRwd	posCritDist	distractor	posTarget	target	trial_type	trial_index	time_elapsed	internal_node_id	run_id	date	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	1800.9249999886	<div style="font-size:20px;"><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>	999	78	rsvpAnswHom	0	0	2	4	2	6	0	10	1	html-keyboard-response	4	20753	0.0-4.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	999	999	999	fullscreenExp	999	999	999	999	999	999	999	999	999	fullscreen	5	20788	0.0-5.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	fixation_cross	999	999	fixation	0	1	2	3	2	4	1	8	0	html-keyboard-response	6	21792	0.0-6.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	imgJS/WMF_scramble_11.jpg,imgJS/WMF_scramble_16.jpg,imgJS/WMF_scramble_17.jpg,imgJS/WMF_scramble_29.jpg,imgJS/WMF_14.jpg,imgJS/WMF_scramble_20.jpg,imgJS/WMF_scramble_2.jpg,imgJS/WMF_scramble_11.jpg,imgJS/WFF_18.jpg,imgJS/WMF_scramble_20.jpg,imgJS/WMF_scramble_22.jpg,imgJS/WMF_scramble_18.jpg,imgJS/WMF_scramble_13.jpg,imgJS/WMF_scramble_27.jpg,imgJS/WMF_scramble_20.jpg	999	999	rsvp_img_15	0	1	2	3	2	4	1	8	0	rsvp_flux	7	22845	0.0-7.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	493.58500004746	<div style="font-size:20px;"><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>	999	78	rsvpAnswFem	0	1	2	3	2	4	1	8	0	html-keyboard-response	8	23342	0.0-8.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	999	999	999	fullscreenExp	999	999	999	999	999	999	999	999	999	fullscreen	9	23375	0.0-9.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	fixation_cross	999	999	fixation	0	2	2	5	2	6	3	10	1	html-keyboard-response	10	24380	0.0-10.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	imgJS/WMN_scramble_30.jpg,imgJS/WMN_scramble_19.jpg,imgJS/WMN_scramble_74.jpg,imgJS/WMN_scramble_88.jpg,imgJS/WMN_scramble_83.jpg,imgJS/WMN_scramble_1.jpg,imgJS/WMN_63.jpg,imgJS/WMN_scramble_48.jpg,imgJS/WMN_scramble_90.jpg,imgJS/WMN_scramble_57.jpg,imgJS/WMF_29.jpg,imgJS/WMN_scramble_66.jpg,imgJS/WMN_scramble_18.jpg,imgJS/WMN_scramble_22.jpg,imgJS/WMN_scramble_38.jpg	999	999	rsvp_img_15	0	2	2	5	2	6	3	10	1	rsvp_flux	11	25432	0.0-11.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	891.07000001241	<div style="font-size:20px;"><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>	999	78	rsvpAnswFem	0	2	2	5	2	6	3	10	1	html-keyboard-response	12	26327	0.0-12.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	999	999	999	fullscreenExp	999	999	999	999	999	999	999	999	999	fullscreen	13	26361	0.0-13.0	26	11:22 26-5-2020	
