rt;stimulus;responses;key_press;test_part;blockNb;trialNb;condiEmoBlock;condiEmoTrial;condiRwd;posCritDist;distractor;posTarget;target;trial_type;trial_index;time_elapsed;internal_node_id;subject_id;date
757.28499994148;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswFem;3;10;1;1;1;6;1;8;2;html-keyboard-response;458;439708;0.0-458.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;459;439756;0.0-459.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;3;11;1;1;1;4;1;6;3;html-keyboard-response;460;440761;0.0-460.0;9546715;05/05/2020 14:35
999;imgJS/WMF_scramble_1.jpg,imgJS/WMF_scramble_26.jpg,imgJS/WMF_scramble_28.jpg,imgJS/WMF_scramble_9.jpg,imgJS/WMF_18.jpg,imgJS/WMF_scramble_3.jpg,imgJS/WMN_82.jpg,imgJS/WMF_scramble_19.jpg,imgJS/WMF_scramble_18.jpg,imgJS/WMF_scramble_3.jpg,imgJS/WMF_sc;999;999;rsvp_img_15;3;11;1;1;1;4;1;6;3;rsvp_flux;461;441814;0.0-461.0;9546715;05/05/2020 14:35
917.71499998868;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswFem;3;11;1;1;1;4;1;6;3;html-keyboard-response;462;442735;0.0-462.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;463;442775;0.0-463.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;3;12;1;4;1;8;2;12;3;html-keyboard-response;464;443779;0.0-464.0;9546715;05/05/2020 14:35
999;imgJS/WFN_scramble_46.jpg,imgJS/WFN_scramble_63.jpg,imgJS/WFN_scramble_27.jpg,imgJS/WFN_scramble_24.jpg,imgJS/WFN_scramble_86.jpg,imgJS/WFN_scramble_3.jpg,imgJS/WFN_scramble_49.jpg,imgJS/WFN_scramble_61.jpg,imgJS/WFN_22.jpg,imgJS/WFN_scramble_57.jpg,;999;999;rsvp_img_15;3;12;1;4;1;8;2;12;3;rsvp_flux;465;444834;0.0-465.0;9546715;05/05/2020 14:35
1874.9499999685;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswHom;3;12;1;4;1;8;2;12;3;html-keyboard-response;466;446712;0.0-466.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;467;446757;0.0-467.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;3;13;1;1;1;5;1;7;2;html-keyboard-response;468;447762;0.0-468.0;9546715;05/05/2020 14:35
999;imgJS/WMF_scramble_13.jpg,imgJS/WMF_scramble_18.jpg,imgJS/WMF_scramble_26.jpg,imgJS/WMF_scramble_18.jpg,imgJS/WMF_scramble_1.jpg,imgJS/WMF_13.jpg,imgJS/WMF_scramble_11.jpg,imgJS/WFN_67.jpg,imgJS/WMF_scramble_2.jpg,imgJS/WMF_scramble_29.jpg,imgJS/WMF_;999;999;rsvp_img_15;3;13;1;1;1;5;1;7;2;rsvp_flux;469;448816;0.0-469.0;9546715;05/05/2020 14:35
832.99000002444;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswFem;3;13;1;1;1;5;1;7;2;html-keyboard-response;470;449652;0.0-470.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;471;449695;0.0-471.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;3;14;1;2;1;4;0;6;2;html-keyboard-response;472;450699;0.0-472.0;9546715;05/05/2020 14:35
