rt;stimulus;responses;key_press;test_part;blockNb;trialNb;condiEmoBlock;condiEmoTrial;condiRwd;posCritDist;distractor;posTarget;target;trial_type;trial_index;time_elapsed;internal_node_id;subject_id;date
999;imgJS/WFF_scramble_35.jpg,imgJS/WFF_scramble_22.jpg,imgJS/WFF_scramble_18.jpg,imgJS/WFF_scramble_36.jpg,imgJS/WFF_scramble_34.jpg,imgJS/WFF_9.jpg,imgJS/WFF_scramble_28.jpg,imgJS/WMN_80.jpg,imgJS/WFF_scramble_2.jpg,imgJS/WFF_scramble_24.jpg,imgJS/WFF_;999;999;rsvp_img_15;0;4;1;2;1;5;0;7;3;rsvp_flux;70;181430;0.0-70.0;8651065;06/05/2020 14:25
1146.7399999965;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswHom;0;4;1;2;1;5;0;7;3;html-keyboard-response;71;182579;0.0-71.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;72;182622;0.0-72.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;0;5;1;4;1;4;2;8;2;html-keyboard-response;73;183626;0.0-73.0;8651065;06/05/2020 14:25
999;imgJS/WFN_scramble_14.jpg,imgJS/WFN_scramble_82.jpg,imgJS/WFN_scramble_72.jpg,imgJS/WFN_scramble_37.jpg,imgJS/WFN_49.jpg,imgJS/WFN_scramble_46.jpg,imgJS/WFN_scramble_22.jpg,imgJS/WFN_scramble_5.jpg,imgJS/WFN_41.jpg,imgJS/WFN_scramble_27.jpg,imgJS/WFN;999;999;rsvp_img_15;0;5;1;4;1;4;2;8;2;rsvp_flux;74;184681;0.0-74.0;8651065;06/05/2020 14:25
1435.524999979;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswHom;0;5;1;4;1;4;2;8;2;html-keyboard-response;75;186120;0.0-75.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;76;186160;0.0-76.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;0;6;1;2;1;6;0;10;2;html-keyboard-response;77;187164;0.0-77.0;8651065;06/05/2020 14:25
999;imgJS/WFF_scramble_18.jpg,imgJS/WFF_scramble_33.jpg,imgJS/WFF_scramble_1.jpg,imgJS/WFF_scramble_7.jpg,imgJS/WFF_scramble_34.jpg,imgJS/WFF_scramble_17.jpg,imgJS/WFF_4.jpg,imgJS/WFF_scramble_31.jpg,imgJS/WFF_scramble_21.jpg,imgJS/WFF_scramble_32.jpg,im;999;999;rsvp_img_15;0;6;1;2;1;6;0;10;2;rsvp_flux;78;188218;0.0-78.0;8651065;06/05/2020 14:25
534.16499996092;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswHom;0;6;1;2;1;6;0;10;2;html-keyboard-response;79;188755;0.0-79.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;80;188807;0.0-80.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;0;7;1;2;1;8;0;12;3;html-keyboard-response;81;189812;0.0-81.0;8651065;06/05/2020 14:25
999;imgJS/WFF_scramble_9.jpg,imgJS/WFF_scramble_1.jpg,imgJS/WFF_scramble_25.jpg,imgJS/WFF_scramble_8.jpg,imgJS/WFF_scramble_36.jpg,imgJS/WFF_scramble_19.jpg,imgJS/WFF_scramble_25.jpg,imgJS/WFF_scramble_1.jpg,imgJS/WFF_27.jpg,imgJS/WFF_scramble_3.jpg,imgJ;999;999;rsvp_img_15;0;7;1;2;1;8;0;12;3;rsvp_flux;82;190865;0.0-82.0;8651065;06/05/2020 14:25
691.09999993816;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswHom;0;7;1;2;1;8;0;12;3;html-keyboard-response;83;191560;0.0-83.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;84;191604;0.0-84.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;0;8;1;3;1;7;3;9;2;html-keyboard-response;85;192609;0.0-85.0;8651065;06/05/2020 14:25
999;imgJS/WMN_scramble_70.jpg,imgJS/WMN_scramble_79.jpg,imgJS/WMN_scramble_60.jpg,imgJS/WMN_scramble_43.jpg,imgJS/WMN_scramble_91.jpg,imgJS/WMN_scramble_66.jpg,imgJS/WMN_scramble_85.jpg,imgJS/WMN_63.jpg,imgJS/WMN_scramble_44.jpg,imgJS/WFN_19.jpg,imgJS/WM;999;999;rsvp_img_15;0;8;1;3;1;7;3;9;2;rsvp_flux;86;193663;0.0-86.0;8651065;06/05/2020 14:25
880.05999999586;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswFem;0;8;1;3;1;7;3;9;2;html-keyboard-response;87;194546;0.0-87.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;88;194587;0.0-88.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;0;9;1;4;1;4;0;6;0;html-keyboard-response;89;195591;0.0-89.0;8651065;06/05/2020 14:25
999;imgJS/WFF_scramble_36.jpg,imgJS/WFF_scramble_6.jpg,imgJS/WFF_scramble_34.jpg,imgJS/WFF_scramble_13.jpg,imgJS/WFF_10.jpg,imgJS/WFF_scramble_22.jpg,imgJS/WFF_26.jpg,imgJS/WFF_scramble_15.jpg,imgJS/WFF_scramble_9.jpg,imgJS/WFF_scramble_5.jpg,imgJS/WFF_s;999;999;rsvp_img_15;0;9;1;4;1;4;0;6;0;rsvp_flux;90;196645;0.0-90.0;8651065;06/05/2020 14:25
